Record 1: {'name': 'Donna Barton', 'email': 'stewartlaura@example.net', 'phone_number': '9307940498', 'garbage_data': None, 'empty_field_1': '', 'empty_field_2': '', 'random_place_name': 'South Kristastad'}
Record 2: {'name': 'Wendy Martinez', 'email': 'christopher39@example.com', 'phone_number': '(409)763-9830x799', 'garbage_data': None, 'empty_field_1': '', 'empty_field_2': '', 'random_place_name': 'Buchananborough'}
Record 3: {'name': 'Jeffrey Harris', 'email': 'fischerchristopher@example.net', 'phone_number': '001-255-695-7429x6478', 'garbage_data': None, 'empty_field_1': '', 'empty_field_2': '', 'random_place_name': None}
Record 4: {'name': 'Lori Graham', 'email': 'bryan62@example.net', 'phone_number': '(569)972-3685', 'garbage_data': 'Science senior while performance. Always campaign light interview lead. Discuss stay animal.', 'empty_field_1': '', 'empty_field_2': '', 'random_place_name': 'Kathleentown'}
Record 5: {'name': 'Brenda Rowe', 'email': 'lramirez@example.org', 'phone_number': '(926)714-3141x32849', 'garbage_data': 'Perhaps sure another. Of hard some reduce. Seem ok program hundred age hold make.', 'empty_field_1': '', 'empty_field_2': '', 'random_place_name': None}
Record 6: {'name': 'Mariah Molina', 'email': 'vcarter@example.org', 'phone_number': '(505)694-8552x368', 'garbage_data': None, 'empty_field_1': '', 'empty_field_2': '', 'random_place_name': 'South Jamiestad'}
Record 7: {'name': 'Sally Hamilton', 'email': 'justinhughes@example.org', 'phone_number': '872.276.5351', 'garbage_data': None, 'empty_field_1': '', 'empty_field_2': '', 'random_place_name': None}
Record 8: {'name': 'Jordan Casey', 'email': 'scottjensen@example.com', 'phone_number': '+1-815-677-3113x5120', 'garbage_data': 'Day dog avoid best week environmental change. Approach work popular. Imagine determine arrive.\nEnvironment majority former often machine.\nAgree or commercial. Drug star get lawyer wait.', 'empty_field_1': '', 'empty_field_2': '', 'random_place_name': None}
Record 9: {'name': 'Kelly Collins', 'email': 'fdecker@example.net', 'phone_number': '(730)337-4541', 'garbage_data': 'Interview camera happen age little manager lot.\nNever explain clear mouth avoid. Guess walk thousand prepare answer product.\nTheory worker free. Truth strategy happen perform. Help along south fast.', 'empty_field_1': '', 'empty_field_2': '', 'random_place_name': None}
Record 10: {'name': 'Lisa Ortiz', 'email': 'caitlin38@example.net', 'phone_number': '001-665-736-6868x781', 'garbage_data': None, 'empty_field_1': '', 'empty_field_2': '', 'random_place_name': 'Timothyview'}
Record 11: {'name': 'Chelsea Wright', 'email': 'jamesmary@example.org', 'phone_number': '(420)809-8411x009', 'garbage_data': None, 'empty_field_1': '', 'empty_field_2': '', 'random_place_name': 'Dawnfurt'}
Record 12: {'name': 'Jessica Burgess', 'email': 'fmorris@example.com', 'phone_number': '2587369348', 'garbage_data': 'Trip issue star dark look movie international may. Choose attention beat church machine organization song develop. Shake job know research notice only change fly.', 'empty_field_1': '', 'empty_field_2': '', 'random_place_name': 'Phillipchester'}
Record 13: {'name': 'Carlos Floyd', 'email': 'margaretsalazar@example.net', 'phone_number': '699-707-3689', 'garbage_data': None, 'empty_field_1': '', 'empty_field_2': '', 'random_place_name': 'Richardsville'}
Record 14: {'name': 'Troy Taylor', 'email': 'vsimmons@example.org', 'phone_number': '995.825.9454x951', 'garbage_data': None, 'empty_field_1': '', 'empty_field_2': '', 'random_place_name': 'Marcusland'}
Record 15: {'name': 'Michael Miller', 'email': 'xwhite@example.com', 'phone_number': '208.585.3001x5575', 'garbage_data': 'Become section bank public style yes. Test that join wonder. Yes support knowledge friend.\nAgo event issue throughout. General thank successful live for truth reach. Decision population very young.', 'empty_field_1': '', 'empty_field_2': '', 'random_place_name': 'Angelastad'}
